email,Empresa_login
apple@apple.com,apple
sac@apple.com,apple
suporte@apple.com,apple
center@center.com,center
suporte@center.com,center
compjunior@compjunior.com,compjunior
suporte@compjunior.com,compjunior
compushop@compushop.com,compushop
suporte@compushop.com,compushop
contron@contron.com,contron
sac@contron.com,contron
suporte@contron.com,contron
datacel@datacel.com,datacel
suporte@datacel.com,datacel
emakers@emakers.com,emakers
suporte@emakers.com,emakers
extra@extra.com,extra
suporte@extra.com,extra
francomp@francomp.com,francomp
sac@francomp.com,francomp
suporte@francomp.com,francomp
google@google.com,google
suporte@google.com,google
infotech@infotech.com,infotech
suporte@infotech.com,infotech
magasyn@magasyn.com,magasyn
suporte@magasyn.com,magasyn
microsoft@microsoft.com,microsoft
sac@microsoft.com,microsoft
suporte@microsoft.com,microsoft
pcenter@pcenter.com,pcenter
suporte@pcenter.com,pcenter
suporte@tuttistore.com,tuttistore
tuttistore@tuttistore.com,tuttistore
