telefone,Empresa_login
"+55 35 3634-5778",apple
"+55 35 4444-9208",apple
"+55 35 9074-6073",apple
"+55 35 3451-1290",center
"+55 35 3543-1136",compjunior
"+55 35 4531-1397",compjunior
"+55 35 3795-3827",compushop
"+55 35 9159-1184",compushop
"+55 35 3005-7891",contron
"+55 35 4316-0157",contron
"+55 35 3357-6582",datacel
"+55 35 3963-3761",emakers
"+55 35 4423-4068",emakers
"+55 35 9642-0432",emakers
"+55 35 3587-6339",extra
"+55 35 3449-7706",francomp
"+55 35 4899-3092",francomp
"+55 35 3084-6683",google
"+55 35 9425-0082",google
"+55 35 3091-4322",infotech
"+55 35 4773-3362",infotech
"+55 35 3568-2145",magasyn
"+55 35 3124-4376",microsoft
"+55 35 4093-0122",microsoft
"+55 35 9645-4334",microsoft
"+55 35 3111-1236",pcenter
"+55 35 3306-8287",tuttistore
"+55 35 4639-7413",tuttistore
